"Well","Row","Column","SampleType","SampleID","StandardConc","DilutionFactor","Replicate","MeasurementValue","NormalizedValue","ResponseUnit"
"A1","A","1","Blank","A1",NA,1,"Ctrl_Blank",0.0437,0.0437,"Raw Absorbance"
"B1","B","1","Blank","B1",NA,1,"Ctrl_Blank",0.0456,0.0456,"Raw Absorbance"
"C1","C","1","NSB","C1",NA,1,"Ctrl_NSB",0.0884,0.0884,"Raw Absorbance"
"D1","D","1","NSB","D1",NA,1,"Ctrl_NSB",0.0867,0.0867,"Raw Absorbance"
"E1","E","1","B0","E1",NA,1,"Ctrl_B0",1.3191,1.3191,"Raw Absorbance"
"F1","F","1","B0","F1",NA,1,"Ctrl_B0",1.2968,1.2968,"Raw Absorbance"
"G1","G","1","B0","G1",NA,1,"Ctrl_B0",1.3359,1.3359,"Raw Absorbance"
"H1","H","1","TotalActivity","H1",NA,1,"Ctrl_TA",2.1642,2.1642,"Raw Absorbance"
"A2","A","2","Standard","S1",4000,1,"S1",0.1285,0.1285,"Raw Absorbance"
"B2","B","2","Standard","S2",1600,1,"S2",0.1936,0.1936,"Raw Absorbance"
"C2","C","2","Standard","S3",640,1,"S3",0.3528,0.3528,"Raw Absorbance"
"D2","D","2","Standard","S4",256,1,"S4",0.6461,0.6461,"Raw Absorbance"
"E2","E","2","Standard","S5",102.4,1,"S5",0.9776,0.9776,"Raw Absorbance"
"F2","F","2","Standard","S6",41,1,"S6",1.1749,1.1749,"Raw Absorbance"
"G2","G","2","Standard","S7",16.4,1,"S7",1.236,1.236,"Raw Absorbance"
"H2","H","2","Standard","S8",6.6,1,"S8",1.2725,1.2725,"Raw Absorbance"
"A3","A","3","Standard","S1",4000,1,"S1",0.1354,0.1354,"Raw Absorbance"
"B3","B","3","Standard","S2",1600,1,"S2",0.206,0.206,"Raw Absorbance"
"C3","C","3","Standard","S3",640,1,"S3",0.3527,0.3527,"Raw Absorbance"
"D3","D","3","Standard","S4",256,1,"S4",0.6071,0.6071,"Raw Absorbance"
"E3","E","3","Standard","S5",102.4,1,"S5",0.9288,0.9288,"Raw Absorbance"
"F3","F","3","Standard","S6",41,1,"S6",1.1956,1.1956,"Raw Absorbance"
"G3","G","3","Standard","S7",16.4,1,"S7",1.3214,1.3214,"Raw Absorbance"
