"Well","SampleID","SampleType","Replicate","DilutionFactor","response_value","concentration_diluted","concentration","ci_lower_individual","ci_upper_individual","quantification_status","is_outlier"
"A4","A4","Sample","AA",1,3.23245191981893,6155.40188552275,6155.40188552275,3034.97438623866,9275.82938480685,"Extrapolated (above)",FALSE
"B4","B4","Sample","AE",1,9.60790425978884,1458.66675168009,1458.66675168009,1000.65497568131,1916.67852767886,"Interpolated",FALSE
"C4","C4","Sample","AB",1,23.3509073905913,566.268212320566,566.268212320566,454.855804360366,677.680620280765,"Interpolated",FALSE
"D4","D4","Sample","AF",1,44.9737744466883,249.372878945272,249.372878945272,218.65158552421,280.094172366333,"Interpolated",FALSE
"E4","E4","Sample","AC",1,67.1740102733692,118.544948817428,118.544948817428,103.266058294541,133.823839340315,"Interpolated",FALSE
"F4","F4","Sample","AG",1,83.8038572570917,56.2955472439428,56.2955472439428,45.0711181565418,67.5199763313437,"Interpolated",FALSE
"G4","G4","Sample","AD",1,96.1562961657834,15.9735530564364,15.9735530564364,10.2509475450216,21.6961585678512,"Interpolated",FALSE
"H4","H4","Sample","AH",1,104.036160091078,NA,NA,NA,NA,"Not estimable",FALSE
"A5","A5","Sample","AA",1,4.54169659677704,3558.60799402095,3558.60799402095,2019.18125504169,5098.0347330002,"Interpolated",FALSE
"B5","B5","Sample","AE",1,11.5921011615142,1194.46025400769,1194.46025400769,850.288499939501,1538.63200807588,"Interpolated",FALSE
"C5","C5","Sample","AB",1,26.8069880595801,484.551216368268,484.551216368268,397.587225104617,571.515207631918,"Interpolated",FALSE
"D5","D5","Sample","AF",1,52.8536383719827,192.803805383334,192.803805383334,170.633310090035,214.974300676633,"Interpolated",FALSE
"E5","E5","Sample","AC",1,78.2659962321944,75.272687898318,75.272687898318,62.6452008250478,87.9001749715881,"Interpolated",FALSE
"F5","F5","Sample","AG",1,90.9762411395579,33.0149929808537,33.0149929808537,24.2989163517877,41.7310696099197,"Interpolated",FALSE
"G5","G5","Sample","AD",1,94.2208909911497,22.4855811705166,22.4855811705166,15.4410022534389,29.5301600875943,"Interpolated",FALSE
"H5","H5","Sample","AH",1,97.327297615982,11.8363393858561,11.8363393858561,7.12281282129184,16.5498659504203,"Interpolated",FALSE
"A6","A6","Sample","BA",1,5.24917663960533,2933.05536208823,2933.05536208823,1740.56762392466,4125.54310025179,"Interpolated",FALSE
"B6","B6","Sample","BE",1,12.6655191575295,1088.05435235734,1088.05435235734,787.523456147038,1388.58524856765,"Interpolated",FALSE
"C6","C6","Sample","BB",1,26.3678625157557,493.819951765071,493.819951765071,404.181016529597,583.458887000545,"Interpolated",FALSE
"D6","D6","Sample","BF",1,49.0072238862611,218.511078255203,218.511078255203,192.795817099329,244.226339411077,"Interpolated",FALSE
"E6","E6","Sample","BC",1,74.7285960180529,88.1697157831146,88.1697157831146,74.7370727101043,101.602358856125,"Interpolated",FALSE
"F6","F6","Sample","BG",1,93.863084992478,23.6627759516408,23.6627759516408,16.4063879241765,30.9191639791051,"Interpolated",FALSE
"G6","G6","Sample","BD",1,101.35261510104,NA,NA,NA,NA,"Not estimable",FALSE
"H6","H6","Sample","BH",1,100.352384695662,NA,NA,NA,NA,"Not estimable",FALSE
"A7","A7","Sample","BA",1,5.60698263827711,2698.61603635316,2698.61603635316,1631.59109518007,3765.64097752625,"Interpolated",FALSE
"B7","B7","Sample","BE",1,16.9185313690145,802.161430838246,802.161430838246,611.201912797937,993.120948878554,"Interpolated",FALSE
"C7","C7","Sample","BB",1,37.5330360652183,320.967136218584,320.967136218584,276.016886952736,365.917385484431,"Interpolated",FALSE
