"replicate_group","sample_ids","sample_type","n_replicates","mean_concentration","std_dev","std_error","ci_lower_95","ci_upper_95","ci_lower_model","ci_upper_model","ci_lower_replicate","ci_upper_replicate","ci_lower_raw","ci_upper_raw","ci_truncated","cv_percent","mean_response","within_range","range_flag","quant_status"
"AA","A4,A5","Sample",2,4857.00493977185,1836.21057002473,1298.3969457509,0,21354.7023613067,2019.18125504169,9275.82938480685,-11640.692481763,21354.7023613067,-11640.692481763,21354.7023613067,TRUE,37.8054087404528,3.88707425829798,"Out of Range",">ULOQ","Extrapolated (above)"
"AB","C4,C5","Sample",2,525.409714344417,57.7826419760636,40.858497976149,6.25327384688785,1044.56615484195,397.587225104617,677.680620280765,6.25327384688785,1044.56615484195,6.25327384688785,1044.56615484195,FALSE,10.9976348739882,25.0789477250857,"Within Range","","Interpolated"
"AC","E4,E5","Sample",2,96.908818357873,30.5981091331763,21.636130459555,0,371.821921675564,62.6452008250478,133.823839340315,-178.004284959818,371.821921675564,-178.004284959818,371.821921675564,TRUE,31.5741226151175,72.7200032527818,"Within Range","","Interpolated"
"AD","G4,G5","Sample",2,19.2295671134765,4.60469923874354,3.25601405704009,0,60.6011483460907,10.2509475450216,29.5301600875943,-22.1420141191377,60.6011483460907,-22.1420141191377,60.6011483460907,TRUE,23.9459329041082,95.1885935784666,"Out of Range","<LLOQ","Interpolated"
"AE","B4,B5","Sample",2,1326.56350284389,186.822206137699,132.103248836198,0,3005.09442887045,850.288499939501,1916.67852767886,-351.967423182671,3005.09442887045,-351.967423182671,3005.09442887045,TRUE,14.0831709704955,10.6000027106515,"Out of Range",">ULOQ","Interpolated"
"AF","D4,D5","Sample",2,221.088342164303,40.0003755210869,28.2845367809689,0,580.477457371157,170.633310090035,280.094172366333,-138.300773042551,580.477457371157,-138.300773042551,580.477457371157,TRUE,18.0924851710907,48.9137064093355,"Within Range","","Interpolated"
"AG","F4,F5","Sample",2,44.6552701123982,16.4618377892117,11.6402771315445,0,192.559014531615,24.2989163517877,67.5199763313437,-103.248474306819,192.559014531615,-103.248474306819,192.559014531615,TRUE,36.864266519443,87.3900491983248,"Out of Range","<LLOQ","Interpolated"
"AH","H5","Sample",1,11.8363393858561,NA,NA,7.12281282129184,16.5498659504203,7.12281282129184,16.5498659504203,11.8363393858561,11.8363393858561,7.12281282129184,16.5498659504203,FALSE,NA,97.327297615982,"Out of Range","<LLOQ","Interpolated"
"BA","A6,A7","Sample",2,2815.83569922069,165.773637004067,117.219662867533,1326.41866372045,4305.25273472094,1631.59109518007,4125.54310025179,1326.41866372045,4305.25273472094,1326.41866372045,4305.25273472094,FALSE,5.88719139578867,5.42807963894122,"Out of Range",">ULOQ","Interpolated"
"BB","C6,C7","Sample",2,407.393543991827,122.225398020109,86.4264077732436,0,1505.54517577078,276.016886952736,583.458887000545,-690.758087787126,1505.54517577078,-690.758087787126,1505.54517577078,TRUE,30.0018004268032,31.950449290487,"Within Range","","Interpolated"
"BC","E6,E7","Sample",2,79.8161216101571,11.8137661739574,8.35359417295751,0,185.958599454671,59.0898363998411,101.602358856125,-26.326356234357,185.958599454671,-26.326356234357,185.958599454671,TRUE,14.8012280421979,77.038071100389,"Within Range","","Interpolated"
"BD","G7","Sample",1,1.32430664887719,NA,NA,0.400776831257893,2.24783646649648,0.400776831257893,2.24783646649648,1.32430664887719,1.32430664887719,0.400776831257893,2.24783646649648,FALSE,NA,99.8238076521692,"Out of Range","<LLOQ","Extrapolated (below)"
"BE","B6,B7","Sample",2,945.107891597794,202.156823499386,142.946460759548,0,2761.41488832017,611.201912797937,1388.58524856765,-871.199105124587,2761.41488832017,-871.199105124587,2761.41488832017,TRUE,21.3898143584032,14.792025263272,"Out of Range",">ULOQ","Interpolated"
