"Well","Row","Column","SampleType","SampleID","StandardConc","DilutionFactor","Replicate","MeasurementValue","NormalizedValue","ResponseUnit"
"A1","A","1","Blank","A1",NA,1,"Ctrl_Blank",0.0392,0.0392,"Raw Absorbance"
"B1","B","1","Blank","B1",NA,1,"Ctrl_Blank",0.0447,0.0447,"Raw Absorbance"
"C1","C","1","NSB","C1",NA,1,"Ctrl_NSB",1.2123,1.2123,"Raw Absorbance"
"D1","D","1","NSB","D1",NA,1,"Ctrl_NSB",1.9729,1.9729,"Raw Absorbance"
"E1","E","1","B0","E1",NA,1,"Ctrl_B0",0.5973,0.5973,"Raw Absorbance"
"F1","F","1","B0","F1",NA,1,"Ctrl_B0",0.7564,0.7564,"Raw Absorbance"
"G1","G","1","B0","G1",NA,1,"Ctrl_B0",0.3712,0.3712,"Raw Absorbance"
"H1","H","1","TotalActivity","H1",NA,1,"Ctrl_TA",1.0116,1.0116,"Raw Absorbance"
"A2","A","2","Standard","S1",4000,1,"S1",0.1033,0.1033,"Raw Absorbance"
"B2","B","2","Standard","S2",1600,1,"S2",0.1723,0.1723,"Raw Absorbance"
"C2","C","2","Standard","S3",640,1,"S3",0.3119,0.3119,"Raw Absorbance"
"D2","D","2","Standard","S4",256,1,"S4",0.5894,0.5894,"Raw Absorbance"
"E2","E","2","Standard","S5",102.4,1,"S5",0.8845,0.8845,"Raw Absorbance"
"F2","F","2","Standard","S6",41,1,"S6",1.0876,1.0876,"Raw Absorbance"
"G2","G","2","Standard","S7",16.4,1,"S7",1.161,1.161,"Raw Absorbance"
"H2","H","2","Standard","S8",6.6,1,"S8",1.1608,1.1608,"Raw Absorbance"
"A3","A","3","Standard","S1",4000,1,"S1",0.1305,0.1305,"Raw Absorbance"
"B3","B","3","Standard","S2",1600,1,"S2",0.1635,0.1635,"Raw Absorbance"
"C3","C","3","Standard","S3",640,1,"S3",0.3357,0.3357,"Raw Absorbance"
"D3","D","3","Standard","S4",256,1,"S4",0.5955,0.5955,"Raw Absorbance"
"E3","E","3","Standard","S5",102.4,1,"S5",0.8907,0.8907,"Raw Absorbance"
"F3","F","3","Standard","S6",41,1,"S6",1.0702,1.0702,"Raw Absorbance"
"G3","G","3","Standard","S7",16.4,1,"S7",1.1699,1.1699,"Raw Absorbance"
"H3","H","3","Standard","S8",6.6,1,"S8",1.1791,1.1791,"Raw Absorbance"
"A4","A","4","Sample","A4",NA,1,"AA",0.3756,0.3756,"Raw Absorbance"
"B4","B","4","Sample","B4",NA,1,"AE",0.3762,0.3762,"Raw Absorbance"
"C4","C","4","Sample","C4",NA,1,"AB",0.3872,0.3872,"Raw Absorbance"
"D4","D","4","Sample","D4",NA,1,"AF",0.3882,0.3882,"Raw Absorbance"
"E4","E","4","Sample","E4",NA,1,"AC",0.3683,0.3683,"Raw Absorbance"
"F4","F","4","Sample","F4",NA,1,"AG",0.3779,0.3779,"Raw Absorbance"
"G4","G","4","Sample","G4",NA,1,"AD",0.3791,0.3791,"Raw Absorbance"
"H4","H","4","Sample","H4",NA,1,"AH",0.4171,0.4171,"Raw Absorbance"
"A5","A","5","Sample","A5",NA,1,"AA",0.3908,0.3908,"Raw Absorbance"
"B5","B","5","Sample","B5",NA,1,"AE",0.3781,0.3781,"Raw Absorbance"
"C5","C","5","Sample","C5",NA,1,"AB",0.3577,0.3577,"Raw Absorbance"
"D5","D","5","Sample","D5",NA,1,"AF",0.4111,0.4111,"Raw Absorbance"
"E5","E","5","Sample","E5",NA,1,"AC",0.3916,0.3916,"Raw Absorbance"
"F5","F","5","Sample","F5",NA,1,"AG",0.3774,0.3774,"Raw Absorbance"
"G5","G","5","Sample","G5",NA,1,"AD",0.4188,0.4188,"Raw Absorbance"
"H5","H","5","Sample","H5",NA,1,"AH",0.3965,0.3965,"Raw Absorbance"
"A6","A","6","Sample","A6",NA,1,"BA",0.3828,0.3828,"Raw Absorbance"
"B6","B","6","Sample","B6",NA,1,"BE",0.376,0.376,"Raw Absorbance"
"C6","C","6","Sample","C6",NA,1,"BB",0.3995,0.3995,"Raw Absorbance"
"D6","D","6","Sample","D6",NA,1,"BF",0.3739,0.3739,"Raw Absorbance"
"E6","E","6","Sample","E6",NA,1,"BC",0.3856,0.3856,"Raw Absorbance"
"F6","F","6","Sample","F6",NA,1,"BG",0.3728,0.3728,"Raw Absorbance"
"G6","G","6","Sample","G6",NA,1,"BD",0.3931,0.3931,"Raw Absorbance"
"H6","H","6","Sample","H6",NA,1,"BH",0.3919,0.3919,"Raw Absorbance"
"A7","A","7","Sample","A7",NA,1,"BA",0.7845,0.7845,"Raw Absorbance"
"B7","B","7","Sample","B7",NA,1,"BE",0.7999,0.7999,"Raw Absorbance"
"C7","C","7","Sample","C7",NA,1,"BB",0.7944,0.7944,"Raw Absorbance"
"D7","D","7","Sample","D7",NA,1,"BF",0.7991,0.7991,"Raw Absorbance"
"E7","E","7","Sample","E7",NA,1,"BC",0.7624,0.7624,"Raw Absorbance"
"F7","F","7","Sample","F7",NA,1,"BG",0.761,0.761,"Raw Absorbance"
"G7","G","7","Sample","G7",NA,1,"BD",0.7435,0.7435,"Raw Absorbance"
"H7","H","7","Sample","H7",NA,1,"BH",0.7927,0.7927,"Raw Absorbance"
"A8","A","8","Sample","A8",NA,1,"CA",0.7977,0.7977,"Raw Absorbance"
"B8","B","8","Sample","B8",NA,1,"CE",0.7723,0.7723,"Raw Absorbance"
"C8","C","8","Sample","C8",NA,1,"CB",0.7622,0.7622,"Raw Absorbance"
"D8","D","8","Sample","D8",NA,1,"CF",0.7799,0.7799,"Raw Absorbance"
"E8","E","8","Sample","E8",NA,1,"CC",0.8092,0.8092,"Raw Absorbance"
"F8","F","8","Sample","F8",NA,1,"CG",0.7771,0.7771,"Raw Absorbance"
"G8","G","8","Sample","G8",NA,1,"CD",0.8001,0.8001,"Raw Absorbance"
