"Well","SampleID","SampleType","Replicate","DilutionFactor","response_value","concentration_diluted","concentration","ci_lower_individual","ci_upper_individual","quantification_status","is_outlier"
"A4","A4","Sample","AA",1,0.3756,510.465773742007,510.465773742007,464.852710285372,556.078837198642,"Interpolated",FALSE
"B4","B4","Sample","AE",1,0.3762,509.328404346951,509.328404346951,463.878928116174,554.777880577728,"Interpolated",FALSE
"C4","C4","Sample","AB",1,0.3872,489.171965001422,489.171965001422,446.588094476958,531.755835525886,"Interpolated",FALSE
"D4","D4","Sample","AF",1,0.3882,487.402415098418,487.402415098418,445.067032057146,529.73779813969,"Interpolated",FALSE
"E4","E4","Sample","AC",1,0.3683,524.637547061961,524.637547061961,476.969726315479,572.305367808443,"Interpolated",FALSE
"F4","F4","Sample","AG",1,0.3779,506.127795372808,506.127795372808,461.137593103347,551.11799764227,"Interpolated",FALSE
"G4","G4","Sample","AD",1,0.3791,503.887850215071,503.887850215071,459.218128258612,548.55757217153,"Interpolated",FALSE
"H4","H4","Sample","AH",1,0.4171,440.2659715123,440.2659715123,404.354637220787,476.177305803812,"Interpolated",FALSE
"A5","A5","Sample","AA",1,0.3908,482.848425775892,482.848425775892,441.15018935507,524.546662196713,"Interpolated",FALSE
"B5","B5","Sample","AE",1,0.3781,505.753368221037,505.753368221037,460.816791319742,550.689945122333,"Interpolated",FALSE
"C5","C5","Sample","AB",1,0.3577,546.383209078315,546.383209078315,495.505019920833,597.261398235796,"Interpolated",FALSE
"D5","D5","Sample","AF",1,0.4111,449.459088428598,449.459088428598,412.325476489892,486.592700367304,"Interpolated",FALSE
"E5","E5","Sample","AC",1,0.3916,481.460627791,481.460627791,439.955882017536,522.965373564463,"Interpolated",FALSE
"F5","F5","Sample","AG",1,0.3774,507.065803895458,507.065803895458,461.941165033942,552.190442756973,"Interpolated",FALSE
"G5","G5","Sample","AD",1,0.4188,437.712910680243,437.712910680243,402.138260090521,473.287561269964,"Interpolated",FALSE
"H5","H5","Sample","AH",1,0.3965,473.0948344994,473.0948344994,432.749700576973,513.439968421826,"Interpolated",FALSE
"A6","A6","Sample","BA",1,0.3828,497.079862971522,497.079862971522,453.379381904923,540.780344038121,"Interpolated",FALSE
