"replicate_group","sample_ids","sample_type","n_replicates","mean_concentration","std_dev","std_error","ci_lower_95","ci_upper_95","ci_lower_model","ci_upper_model","ci_lower_replicate","ci_upper_replicate","ci_lower_raw","ci_upper_raw","ci_truncated","cv_percent","mean_response","within_range","range_flag","quant_status"
"AA","A4,A5","Sample",2,496.657099758949,19.5284140252285,13.8086739830576,321.201260995131,672.112938522768,441.15018935507,556.078837198642,321.201260995131,672.112938522768,321.201260995131,672.112938522768,FALSE,3.9319711798556,0.3832,"Out of Range",">ULOQ","Interpolated"
"AB","C4,C5","Sample",2,517.777587039868,40.4544586468894,28.6056220384462,154.30869681374,881.246477265997,446.588094476958,597.261398235796,154.30869681374,881.246477265997,154.30869681374,881.246477265997,FALSE,7.81309574988892,0.37245,"Out of Range",">ULOQ","Interpolated"
"AC","E4,E5","Sample",2,503.04908742648,30.5306924072406,21.5884596354805,228.741699359422,777.356475493538,439.955882017536,572.305367808443,228.741699359422,777.356475493538,228.741699359422,777.356475493538,FALSE,6.06912787844041,0.37995,"Out of Range",">ULOQ","Interpolated"
"AD","G4,G5","Sample",2,470.800380447657,46.7927484896866,33.0874697674139,50.3842153809047,891.216545514409,402.138260090521,548.55757217153,50.3842153809047,891.216545514409,50.3842153809047,891.216545514409,FALSE,9.93897847856326,0.39895,"Out of Range",">ULOQ","Interpolated"
"AE","B4,B5","Sample",2,507.540886283994,2.5279322876205,1.78751806295688,460.816791319742,554.777880577728,460.816791319742,554.777880577728,484.828315806454,530.253456761535,460.816791319742,554.777880577728,FALSE,0.498074609541111,0.37715,"Out of Range",">ULOQ","Interpolated"
"AF","D4,D5","Sample",2,468.430751763508,26.8299835890063,18.9716633349101,227.372913244361,709.488590282655,412.325476489892,529.73779813969,227.372913244361,709.488590282655,227.372913244361,709.488590282655,FALSE,5.72763070912809,0.39965,"Out of Range",">ULOQ","Interpolated"
"AG","F4,F5","Sample",2,506.596799634133,0.663272187176124,0.46900426132467,461.137593103347,552.190442756973,461.137593103347,552.190442756973,500.637535467604,512.556063800663,461.137593103347,552.190442756973,FALSE,0.130927038555147,0.37765,"Out of Range",">ULOQ","Interpolated"
"AH","H4,H5","Sample",2,456.68040300585,23.2135116368225,16.41443149355,248.115275820889,665.24553019081,404.354637220787,513.439968421826,248.115275820889,665.24553019081,248.115275820889,665.24553019081,FALSE,5.08309782597024,0.4068,"Out of Range",">ULOQ","Interpolated"
"BA","A6,A7","Sample",2,321.656554892226,248.086021442094,175.423308079296,0,2550.62102284481,137.284816400956,540.780344038121,-1907.30791306035,2550.62102284481,-1907.30791306035,2550.62102284481,TRUE,77.1276125634116,0.58365,"Out of Range",">ULOQ","Interpolated"
"BB","C6,C7","Sample",2,304.953484365165,230.701497703927,163.13059345634,0,2377.7242035551,133.034204609872,507.740289082972,-1767.81723482477,2377.7242035551,-1767.81723482477,2377.7242035551,TRUE,75.6513729246901,0.59695,"Out of Range",">ULOQ","Interpolated"
