"Well","Row","Column","SampleType","SampleID","StandardConc","DilutionFactor","Replicate","MeasurementValue","NormalizedValue","ResponseUnit"
"A1","A","1","Standard","S1",1e-06,1,"AA",8468,8468,"CPM"
"B1","B","1","Standard","S2",1e-07,1,"EA",7668,7668,"CPM"
"C1","C","1","Standard","S3",3e-08,1,"AB",7384,7384,"CPM"
"D1","D","1","Standard","S4",1e-08,1,"EB",6144,6144,"CPM"
"E1","E","1","Standard","S5",3e-09,1,"AC",3280,3280,"CPM"
"F1","F","1","Standard","S6",1e-09,1,"EC",1404,1404,"CPM"
"G1","G","1","Standard","S7",1e-10,1,"AD",332,332,"CPM"
"H1","H","1","Standard","S8",3e-11,1,"ED",253,253,"CPM"
"A2","A","2","Standard","S1",1e-06,1,"AA",8611,8611,"CPM"
"B2","B","2","Standard","S2",1e-07,1,"EA",7691,7691,"CPM"
"C2","C","2","Standard","S3",3e-08,1,"AB",7260,7260,"CPM"
"D2","D","2","Standard","S4",1e-08,1,"EB",6124,6124,"CPM"
"E2","E","2","Standard","S5",3e-09,1,"AC",3334,3334,"CPM"
"F2","F","2","Standard","S6",1e-09,1,"EC",1410,1410,"CPM"
"G2","G","2","Standard","S7",1e-10,1,"AD",326,326,"CPM"
"H2","H","2","Standard","S8",3e-11,1,"ED",251,251,"CPM"
"A3","A","3","Standard","S1",1e-06,1,"AA",8742,8742,"CPM"
"B3","B","3","Standard","S2",1e-07,1,"EA",7751,7751,"CPM"
"C3","C","3","Standard","S3",3e-08,1,"AB",7148,7148,"CPM"
"D3","D","3","Standard","S4",1e-08,1,"EB",6078,6078,"CPM"
"E3","E","3","Standard","S5",3e-09,1,"AC",3382,3382,"CPM"
"F3","F","3","Standard","S6",1e-09,1,"EC",1423,1423,"CPM"
"G3","G","3","Standard","S7",1e-10,1,"AD",321,321,"CPM"
"H3","H","3","Standard","S8",3e-11,1,"ED",249,249,"CPM"
"A4","A","4","Sample","A4",NA,1,"BA",8768,8768,"CPM"
"B4","B","4","Sample","B4",NA,1,"FA",321,321,"CPM"
"C4","C","4","Sample","C4",NA,1,"BB",8024,8024,"CPM"
"D4","D","4","Sample","D4",NA,1,"FB",318,318,"CPM"
"E4","E","4","Sample","E4",NA,1,"BC",2615,2615,"CPM"
"F4","F","4","Sample","F4",NA,1,"FC",7395,7395,"CPM"
"G4","G","4","Sample","G4",NA,1,"BD",8043,8043,"CPM"
"H4","H","4","Sample","H4",NA,1,"FD",489,489,"CPM"
"A5","A","5","Sample","A5",NA,1,"BA",8601,8601,"CPM"
"B5","B","5","Sample","B5",NA,1,"FA",259,259,"CPM"
"C5","C","5","Sample","C5",NA,1,"BB",7814,7814,"CPM"
"D5","D","5","Sample","D5",NA,1,"FB",244,244,"CPM"
"E5","E","5","Sample","E5",NA,1,"BC",1328,1328,"CPM"
"F5","F","5","Sample","F5",NA,1,"FC",6383,6383,"CPM"
"G5","G","5","Sample","G5",NA,1,"BD",7909,7909,"CPM"
"H5","H","5","Sample","H5",NA,1,"FD",312,312,"CPM"
"A6","A","6","Sample","A6",NA,1,"BA",8285,8285,"CPM"
"B6","B","6","Sample","B6",NA,1,"FA",223,223,"CPM"
"C6","C","6","Sample","C6",NA,1,"BB",7458,7458,"CPM"
"D6","D","6","Sample","D6",NA,1,"FB",213,213,"CPM"
"E6","E","6","Sample","E6",NA,1,"BC",648,648,"CPM"
"F6","F","6","Sample","F6",NA,1,"FC",4733,4733,"CPM"
"G6","G","6","Sample","G6",NA,1,"BD",7722,7722,"CPM"
"H6","H","6","Sample","H6",NA,1,"FD",238,238,"CPM"
"A7","A","7","Sample","A7",NA,1,"CA",7342,7342,"CPM"
"B7","B","7","Sample","B7",NA,1,"GA",5123,5123,"CPM"
"C7","C","7","Sample","C7",NA,1,"CB",6781,6781,"CPM"
"D7","D","7","Sample","D7",NA,1,"GB",8335,8335,"CPM"
"E7","E","7","Sample","E7",NA,1,"CC",383,383,"CPM"
"F7","F","7","Sample","F7",NA,1,"GC",2944,2944,"CPM"
"G7","G","7","Sample","G7",NA,1,"CD",7367,7367,"CPM"
"H7","H","7","Sample","H7",NA,1,"GD",209,209,"CPM"
"A8","A","8","Sample","A8",NA,1,"CA",5647,5647,"CPM"
"B8","B","8","Sample","B8",NA,1,"GA",3346,3346,"CPM"
"C8","C","8","Sample","C8",NA,1,"CB",5291,5291,"CPM"
"D8","D","8","Sample","D8",NA,1,"GB",8100,8100,"CPM"
"E8","E","8","Sample","E8",NA,1,"CC",265,265,"CPM"
"F8","F","8","Sample","F8",NA,1,"GC",1538,1538,"CPM"
"G8","G","8","Sample","G8",NA,1,"CD",6575,6575,"CPM"
"H8","H","8","Sample","H8",NA,1,"GD",4912,4912,"CPM"
"A9","A","9","Sample","A9",NA,1,"CA",4043,4043,"CPM"
"B9","B","9","Sample","B9",NA,1,"GA",1552,1552,"CPM"
"C9","C","9","Sample","C9",NA,1,"CB",3424,3424,"CPM"
"D9","D","9","Sample","D9",NA,1,"GB",7736,7736,"CPM"
"E9","E","9","Sample","E9",NA,1,"CC",228,228,"CPM"
"F9","F","9","Sample","F9",NA,1,"GC",779,779,"CPM"
"G9","G","9","Sample","G9",NA,1,"CD",5137,5137,"CPM"
