"Well","SampleID","SampleType","Replicate","DilutionFactor","response_value","concentration_diluted","concentration","ci_lower_individual","ci_upper_individual","quantification_status","is_outlier"
"A4","A4","Sample","BA",1,8768,NA,NA,NA,NA,"Not estimable",FALSE
"B4","B4","Sample","FA",1,321,1.90184156666004e-10,1.90184156666004e-10,1.27713069757781e-10,2.52655243574226e-10,"Interpolated",FALSE
"C4","C4","Sample","BB",1,8024,9.5461660904194e-08,9.5461660904194e-08,5.53758160017877e-08,1.355475058066e-07,"Interpolated",FALSE
"D4","D4","Sample","FB",1,318,1.88392296125522e-10,1.88392296125522e-10,1.26315050215647e-10,2.50469542035398e-10,"Interpolated",FALSE
"E4","E4","Sample","BC",1,2615,2.01404090624303e-09,2.01404090624303e-09,1.786860397469e-09,2.24122141501706e-09,"Interpolated",FALSE
"F4","F4","Sample","FC",1,7395,3.12981915005658e-08,3.12981915005658e-08,2.19954996910523e-08,4.06008833100794e-08,"Interpolated",FALSE
"G4","G4","Sample","BD",1,8043,1.01358962007284e-07,1.01358962007284e-07,5.81182577727918e-08,1.44599666241777e-07,"Interpolated",FALSE
"H4","H4","Sample","FD",1,489,2.91959121926793e-10,2.91959121926793e-10,2.09588241691506e-10,3.7433000216208e-10,"Interpolated",FALSE
"A5","A5","Sample","BA",1,8601,NA,NA,NA,NA,"Not estimable",FALSE
"B5","B5","Sample","FA",1,259,1.53307887864842e-10,1.53307887864842e-10,9.93280305321913e-11,2.07287745197493e-10,"Interpolated",FALSE
"C5","C5","Sample","BB",1,7814,5.76580533008069e-08,5.76580533008069e-08,3.66741088666667e-08,7.86419977349472e-08,"Interpolated",FALSE
"D5","D5","Sample","FB",1,244,1.44431712063664e-10,1.44431712063664e-10,9.26287722708092e-11,1.96234651856518e-10,"Interpolated",FALSE
"E5","E5","Sample","BC",1,1328,8.58080791212648e-10,8.58080791212648e-10,7.09382247501511e-10,1.00677933492378e-09,"Interpolated",FALSE
"F5","F5","Sample","FC",1,6383,1.34896148652268e-08,1.34896148652268e-08,1.06648154370418e-08,1.63144142934118e-08,"Interpolated",FALSE
"G5","G5","Sample","BD",1,7909,7.03995440599542e-08,7.03995440599542e-08,4.322337896745e-08,9.75757091524584e-08,"Interpolated",FALSE
"H5","H5","Sample","FD",1,312,1.84810980147839e-10,1.84810980147839e-10,1.23526271014025e-10,2.46095689281653e-10,"Interpolated",FALSE
"A6","A6","Sample","BA",1,8285,4.53371066328397e-07,4.53371066328397e-07,1.8337387651345e-07,7.23368256143344e-07,"Interpolated",FALSE
"B6","B6","Sample","FA",1,223,1.32031228480684e-10,1.32031228480684e-10,8.33681960238221e-11,1.80694260937545e-10,"Interpolated",FALSE
"C6","C6","Sample","BB",1,7458,3.37078669406137e-08,3.37078669406137e-08,2.34190069644447e-08,4.39967269167827e-08,"Interpolated",FALSE
"D6","D6","Sample","FB",1,213,1.26136127487262e-10,1.26136127487262e-10,7.90089785418182e-11,1.73263276432705e-10,"Interpolated",FALSE
"E6","E6","Sample","BC",1,648,3.91266302449225e-10,3.91266302449225e-10,2.92998280504825e-10,4.89534324393626e-10,"Interpolated",FALSE
"F6","F6","Sample","FC",1,4733,5.5958301950594e-09,5.5958301950594e-09,4.85584992416003e-09,6.33581046595876e-09,"Interpolated",FALSE
"G6","G6","Sample","BD",1,7722,4.89248549432391e-08,4.89248549432391e-08,3.20038096500876e-08,6.58459002363906e-08,"Interpolated",FALSE
"H6","H6","Sample","FD",1,238,1.40885707873785e-10,1.40885707873785e-10,8.99685458192385e-11,1.91802869928331e-10,"Interpolated",FALSE
"A7","A7","Sample","CA",1,7342,2.94998004030874e-08,2.94998004030874e-08,2.09194690171095e-08,3.80801317890654e-08,"Interpolated",FALSE
"B7","B7","Sample","GA",1,5123,6.74848125265267e-09,6.74848125265267e-09,5.76188975659406e-09,7.73507274871129e-09,"Interpolated",FALSE
"C7","C7","Sample","CB",1,6781,1.78031165116976e-08,1.78031165116976e-08,1.35737676948406e-08,2.20324653285546e-08,"Interpolated",FALSE
"D7","D7","Sample","GB",1,8335,1.64490046298972e-06,1.64490046298972e-06,4.23928442534888e-07,2.86587248344454e-06,"Extrapolated (above)",FALSE
"E7","E7","Sample","CC",1,383,2.27404821891742e-10,2.27404821891742e-10,1.5712902154064e-10,2.97680622242845e-10,"Interpolated",FALSE
"F7","F7","Sample","GC",1,2944,2.39239692422325e-09,2.39239692422325e-09,2.13495215441937e-09,2.64984169402714e-09,"Interpolated",FALSE
"G7","G7","Sample","CD",1,7367,3.03244265954464e-08,3.03244265954464e-08,2.14143673997142e-08,3.92344857911786e-08,"Interpolated",FALSE
"H7","H7","Sample","GD",1,209,1.23779747179313e-10,1.23779747179313e-10,7.72747442777076e-11,1.70284750080918e-10,"Interpolated",FALSE
"A8","A8","Sample","CA",1,5647,8.80537508213394e-09,8.80537508213394e-09,7.31892605095585e-09,1.0291824113312e-08,"Interpolated",FALSE
"B8","B8","Sample","GA",1,3346,2.91910981525618e-09,2.91910981525618e-09,2.60962348475487e-09,3.22859614575748e-09,"Interpolated",FALSE
"C8","C8","Sample","CB",1,5291,7.33304844164704e-09,7.33304844164704e-09,6.21142051921397e-09,8.4546763640801e-09,"Interpolated",FALSE
"D8","D8","Sample","GB",1,8100,1.24265121665869e-07,1.24265121665869e-07,6.8418861773341e-08,1.80111381558396e-07,"Interpolated",FALSE
"E8","E8","Sample","CC",1,265,1.56863000826265e-10,1.56863000826265e-10,1.02026795401837e-10,2.11699206250694e-10,"Interpolated",FALSE
"F8","F8","Sample","GC",1,1538,1.01889109554441e-09,1.01889109554441e-09,8.57826966383357e-10,1.17995522470546e-09,"Interpolated",FALSE
"G8","G8","Sample","CD",1,6575,1.53340346117571e-08,1.53340346117571e-08,1.19255591737139e-08,1.87425100498004e-08,"Interpolated",FALSE
