"replicate_group","sample_ids","sample_type","n_replicates","mean_concentration","std_dev","std_error","ci_lower_95","ci_upper_95","ci_lower_model","ci_upper_model","ci_lower_replicate","ci_upper_replicate","ci_lower_raw","ci_upper_raw","ci_truncated","cv_percent","mean_response","within_range","range_flag","quant_status"
"BA","A6","Sample",1,4.53371066328397e-07,NA,NA,1.8337387651345e-07,7.23368256143344e-07,1.8337387651345e-07,7.23368256143344e-07,4.53371066328397e-07,4.53371066328397e-07,1.8337387651345e-07,7.23368256143344e-07,FALSE,NA,8285,"Out of Range","<LLOQ","Interpolated"
"BB","C4,C5,C6","Sample",3,6.22758603818715e-08,3.113480165189e-08,1.79756861148843e-08,0,1.39618995313198e-07,2.34190069644447e-08,1.355475058066e-07,-1.50672745494548e-08,1.39618995313198e-07,-1.50672745494548e-08,1.39618995313198e-07,TRUE,49.9949763214404,7765.33333333333,"Out of Range","<LLOQ","Interpolated"
"BC","E4,E5,E6","Sample",3,1.0877959999683e-09,8.35419751699571e-10,4.82329818530078e-10,0,3.1630937103063e-09,2.92998280504825e-10,2.24122141501706e-09,-9.87501710369701e-10,3.1630937103063e-09,-9.87501710369701e-10,3.1630937103063e-09,TRUE,76.7993035205053,1530.33333333333,"Out of Range","<LLOQ","Interpolated"
"BD","G4,G5,G6","Sample",3,7.35611203368259e-08,2.63596390209881e-08,1.52187446845088e-08,8.08014697666385e-09,1.44599666241777e-07,3.20038096500876e-08,1.44599666241777e-07,8.08014697666385e-09,1.39042093696988e-07,8.08014697666385e-09,1.44599666241777e-07,FALSE,35.8336562851287,7891.33333333333,"Out of Range","<LLOQ","Interpolated"
"CA","A7,A8,A9","Sample",3,1.41202407704546e-08,1.35291669361287e-08,7.81106817248527e-09,0,4.77285545650575e-08,3.59335111762977e-09,3.80801317890654e-08,-1.94880730241483e-08,4.77285545650575e-08,-1.94880730241483e-08,4.77285545650575e-08,TRUE,95.813996064694,5677.33333333333,"Out of Range","<LLOQ","Interpolated"
"CB","C7,C8,C9","Sample",3,9.38900701302325e-09,7.59770648015568e-09,4.38653788154165e-09,0,2.82627562031878e-08,2.70874933162817e-09,2.20324653285546e-08,-9.48474217714134e-09,2.82627562031878e-08,-9.48474217714134e-09,2.82627562031878e-08,TRUE,80.9212994475039,5165.33333333333,"Out of Range","<LLOQ","Interpolated"
"CC","E7,E8,E9","Sample",3,1.7308297336529e-10,4.8299605020429e-11,2.78857899602973e-11,5.31001030713966e-11,2.97680622242845e-10,8.55602262494688e-11,2.97680622242845e-10,5.31001030713966e-11,2.93065843659183e-10,5.31001030713966e-11,2.97680622242845e-10,FALSE,27.9054629587933,292,"Out of Range","<LLOQ","Interpolated"
"CD","G7,G8,G9","Sample",3,1.74844600326843e-08,1.19112417624445e-08,6.87695863793002e-09,0,4.7073624888548e-08,5.79782720705237e-09,3.92344857911786e-08,-1.21047048231795e-08,4.7073624888548e-08,-1.21047048231795e-08,4.7073624888548e-08,TRUE,68.1247332784563,6359.66666666667,"Out of Range","<LLOQ","Interpolated"
"DA","A10,A11,A12","Sample",3,1.05467856594756e-09,8.27048887698561e-10,4.77496897945745e-10,0,3.10918189734072e-09,2.73635776789304e-10,2.19719195787302e-09,-9.99824765445602e-10,3.10918189734072e-09,-9.99824765445602e-10,3.10918189734072e-09,TRUE,78.4171513863576,1489.66666666667,"Out of Range","<LLOQ","Interpolated"
"DB","C10,C11,C12","Sample",3,8.02044090339267e-10,5.31894286016564e-10,3.07089309212087e-10,0,2.12334274489753e-09,2.37299531753188e-10,1.56065913113573e-09,-5.19254564218996e-10,2.12334274489753e-09,-5.19254564218996e-10,2.12334274489753e-09,TRUE,66.3173374660202,1208.33333333333,"Out of Range","<LLOQ","Interpolated"
"DC","E12","Sample",1,1.37258249383998e-07,NA,NA,7.40415900195861e-08,2.00474908748409e-07,7.40415900195861e-08,2.00474908748409e-07,1.37258249383998e-07,1.37258249383998e-07,7.40415900195861e-08,2.00474908748409e-07,FALSE,NA,8124,"Out of Range","<LLOQ","Interpolated"
"DD","G10,G11,G12","Sample",3,1.46045543261106e-09,1.10497654541585e-09,6.37958505944061e-10,0,4.20536933967816e-09,4.27220299449311e-10,2.97327391682576e-09,-1.28445847445604e-09,4.20536933967816e-09,-1.28445847445604e-09,4.20536933967816e-09,TRUE,75.6597237233268,1920,"Out of Range","<LLOQ","Interpolated"
"FA","B4,B5,B6","Sample",3,1.5850775767051e-10,2.94231158891893e-11,1.6987443879021e-11,8.33681960238221e-11,2.52655243574226e-10,8.33681960238221e-11,2.52655243574226e-10,8.54166858929743e-11,2.31598829448045e-10,8.33681960238221e-11,2.52655243574226e-10,FALSE,18.5625715243232,267.666666666667,"Out of Range","<LLOQ","Interpolated"
"FB","D4,D5,D6","Sample",3,1.52986711892149e-10,3.19976350677348e-11,1.84738432197881e-11,7.35001799335646e-11,2.50469542035398e-10,7.90089785418182e-11,2.50469542035398e-10,7.35001799335646e-11,2.32473243850734e-10,7.35001799335646e-11,2.50469542035398e-10,FALSE,20.9153034743907,258.333333333333,"Out of Range","<LLOQ","Interpolated"
